x,newlib,openlibm,matlab,mpfr64,mpfr128,crlibm,intel-mkl,libmcr,
0.000000e+00,not_finite,not_finite,not_finite,not_finite,not_finite,not_finite,not_finite,not_finite,
7.400000e-01,9210785198144135348,9210785198144135348,4842613823285752,9210785198144135349,9210785198144135349,4842613823285753,4842613823285753,4842613823285753,
7.500000e-01,9210573616461354293,9210573616461354293,4827500845944249,9210573616461354294,9210573616461354294,4827500845944249,4827500845944249,4827500845944249,
7.600000e-01,9210364837267458886,9210364837267458886,4812588046380292,9210364837267458886,9210364837267458886,4812588046380292,4812588046380292,4812588046380292,
7.700000e-01,9210158787291593983,9210158787291593983,4797870190961370,9210158787291593983,9210158787291593983,4797870190961370,4797870190961370,4797870190961370,
7.800000e-01,9209927678412596426,9209927678412596426,4783342248658669,9209927678412596426,9209927678412596426,4783342248658669,4783342248658669,4783342248658669,
7.900000e-01,9209497392374514208,9209497392374514208,4768999380722594,9209497392374514208,9209497392374514208,4768999380722594,4768999380722594,4768999380722594,
8.000000e-01,9209072518883067283,9209072518883067283,4754836931007697,9209072518883067283,9209072518883067283,4754836931007697,4754836931007697,4754836931007697,
8.100000e-01,9208652923459793499,9208652923459793499,4740850416898571,9208652923459793500,9208652923459793500,4740850416898571,4740850416898571,4740850416898571,
8.200000e-01,9208238476576611274,9208238476576611274,4727035520792497,9208238476576611275,9208238476576611275,4727035520792497,4727035520792497,4727035520792497,
8.300000e-01,9207829053415786088,9207829053415786088,4713388082098324,9207829053415786088,9207829053415786088,4713388082098324,4713388082098324,4713388082098324,
8.400000e-01,9207424533644271291,9207424533644271291,4699904089714498,9207424533644271291,9207424533644271291,4699904089714498,4699904089714498,4699904089714498,
8.500000e-01,9207024801201402487,9207024801201402487,4686579674952204,9207024801201402488,9207024801201402488,4686579674952204,4686579674952204,4686579674952204,
8.600000e-01,9206629744099008346,9206629744099008346,4673411104872399,9206629744099008346,9206629744099008346,4673411104872399,4673411104872399,4673411104872399,
8.700000e-01,9206239254233076478,9206239254233076478,4660394776008004,9206239254233076478,9206239254233076478,4660394776008004,4660394776008004,4660394776008004,
8.800000e-01,9205853227206181992,9205853227206181992,4647527208444854,9205853227206181993,9205853227206181993,4647527208444854,4647527208444854,4647527208444854,
8.900000e-01,9205166535744309416,9205166535744309416,4634805040237087,9205166535744309417,9205166535744309417,4634805040237087,4634805040237087,4634805040237087,
9.000000e-01,9204386574621951079,9204386574621951079,4622225022134533,9204386574621951079,9204386574621951079,4622225022134533,4622225022134533,4622225022134533,
9.100000e-01,9203615232030898736,9203615232030898736,4609784012601431,9203615232030898737,9203615232030898737,4609784012601431,4609784012601431,4609784012601431,
9.200000e-01,9202852319582266427,9202852319582266427,4597478973107362,9202852319582266428,9202852319582266428,4597478973107362,4597478973107362,4597478973107362,
9.300000e-01,9202097654997319999,9202097654997319999,4585306963672742,9202097654997320000,9202097654997320000,4585306963672742,4585306963672742,4585306963672742,
9.400000e-01,9201306054940747851,9201306054940747851,4573265138652541,9201306054940747851,9201306054940747851,4573265138652541,4573265138652541,4573265138652541,
9.500000e-01,9199804841056157150,9199804841056157150,4561350742743090,9199804841056157151,9199804841056157151,4561350742743090,4561350742743090,4561350742743090,
9.600000e-01,9198319346977473422,9198319346977473422,4549561107197981,9198319346977473423,9198319346977473423,4549561107197981,4549561107197981,4549561107197981,
9.700000e-01,9196735281684701284,9196735281684701284,4537893646240030,9196735281684701284,9196735281684701284,4537893646240030,4537893646240030,4537893646240030,
9.800000e-01,9193802142368677813,9193802142368677813,4526345853657260,9193802142368677814,9193802142368677814,4526345853657260,4526345853657260,4526345853657260,
9.900000e-01,9189291994087078397,9189291994087078397,4514915299571690,9189291994087078397,9189291994087078397,4514915299571690,4514915299571690,4514915299571690,
1.000000e+00,4612367379483415830,4612367379483415830,4503599627370496,4612367379483415830,4612367379483415830,4503599627370496,4503599627370496,4503599627370496,
